,Title_New,city,state,company,ann_sal,stars,reviews
919,misc,New York,NY,Lighthouse Recruiting,58000.0,,
925,misc,New York,NY,Columbia University,39400.0,52.199997,325.0
928,senior data scientist,New York,NY,Laguna Source,124500.0,,
939,data scientist,New York,NY,Selby Jennings,175000.0,,
949,misc,New York,NY,Columbia University,44300.0,52.199997,325.0
955,data analyst,New York,NY,Execu | Search,200000.0,43.8,59.0
978,data analyst,New York,NY,Green Key Resources,195000.0,52.800003,28.0
23,data engineer,Seattle,WA,HERO.Jobs,160000.0,,
42,data other,Bellevue,WA,Z2 DataLabs,300000.0,,
54,misc,Seattle,WA,University of Washington,51138.0,52.199997,331.0
59,senior data scientist,Seattle,WA,Cutting Edge Medical Diagnostics,140000.0,,
90,scientist,Seattle,WA,All-In Analytics,125000.0,,
136,misc,Seattle,WA,University of Washington,50136.0,52.199997,331.0
167,data scientist,Seattle,WA,Harvey Nash USA,125000.0,42.6,17.0
183,misc,Bellevue,WA,State of Washington,55548.0,42.0,76.0
188,data analyst,Seattle,WA,BrunswikSt.,150000.0,,
259,data scientist,Seattle,WA,Dynamic Staffing Inc.,125000.0,,
261,senior data scientist,Seattle,WA,University of Washington Medical Center,75366.0,52.199997,331.0
290,scientist,Seattle,WA,University of Washington,63012.0,52.199997,331.0
309,scientist,Seattle,WA,University of Washington,70284.0,52.199997,331.0
328,senior data scientist,Seattle,WA,University of Washington,75366.0,52.199997,331.0
344,data other,Seattle,WA,University of Washington Medical Center,43140.0,52.199997,331.0
356,data analyst,Redmond,WA,"NuWest Group Holdings, LLC",55000.0,,
370,misc,Seattle,WA,University of Washington Medical Center,51138.0,52.199997,331.0
431,misc,Seattle,WA,University of Washington,59304.0,52.199997,331.0
487,scientist,Seattle,WA,University of Washington Medical Center,70284.0,52.199997,331.0
501,misc,Seattle,WA,University of Washington Medical Center,59304.0,52.199997,331.0
504,misc,Bellevue,WA,NextGen Global Resources LLC,170000.0,,
505,misc,Seattle,WA,University of Washington,32994.0,52.199997,331.0
518,scientist,Seattle,WA,University of Washington Medical Center,63012.0,52.199997,331.0
543,misc,Seattle,WA,University of Washington Medical Center,33654.0,52.199997,331.0
600,misc,Seattle,WA,University of Washington,43140.0,52.199997,331.0
614,scientist,Seattle,WA,University of Washington Medical Center,63012.0,52.199997,331.0
647,misc,Seattle,WA,University of Washington Medical Center,50136.0,52.199997,331.0
650,data analyst,Bellevue,WA,TOP San Francisco,70000.0,,
669,misc,Seattle,WA,University of Washington Medical Center,43140.0,52.199997,331.0
741,misc,Seattle,WA,University of Washington Medical Center,61308.0,52.199997,331.0
744,misc,Seattle,WA,University of Washington Medical Center,33996.0,52.199997,331.0
779,misc,Seattle,WA,University of Washington,75366.0,52.199997,331.0
780,misc,Seattle,WA,University of Washington Medical Center,75366.0,52.199997,331.0
7,data analyst,Denver,CO,Denver Public Schools,63339.0,43.8,157.0
11,senior data scientist,Boulder,CO,CaliberMind,120000.0,,
14,data analyst,Denver,CO,Denver Public Schools,67380.0,43.8,157.0
26,misc,Aurora,CO,University of Colorado,56500.0,51.6,141.0
40,misc,Denver,CO,xentity corporation,111000.0,,
42,scientist,Boulder,CO,University of Colorado,50500.0,51.6,141.0
48,data other,Denver,CO,10Roof Technology,105000.0,,
89,scientist,Denver,CO,Lauren Enterprises,35000.0,,
100,statistician,Denver,CO,Denver Health,66654.0,42.0,88.0
138,scientist,Aurora,CO,MycoTechnology,50000.0,,
140,data analyst,Denver,CO,Denver Health,93645.0,42.0,88.0
142,data analyst,Denver,CO,Colorado Department of Human Services,57534.0,,
145,misc,Aurora,CO,University of Colorado,68000.0,51.6,141.0
157,misc,Denver,CO,Denver Health,88091.0,42.0,88.0
241,misc,Denver,CO,Potatoes USA,85000.0,,
309,data analyst,Denver,CO,Colorado Community College System,55000.0,40.8,8.0
9,misc,Houston,TX,Baylor College of Medicine,92500.0,51.0,175.0
23,data analyst,Houston,TX,SearchBankingJobs,177500.0,,
28,data analyst,Houston,TX,Baylor College of Medicine,72000.0,51.0,175.0
31,scientist,Houston,TX,MD Anderson Cancer Center,64750.0,51.6,251.0
35,data analyst,Houston,TX,Baylor College of Medicine,54590.0,51.0,175.0
51,misc,Houston,TX,Baylor College of Medicine,72120.0,51.0,175.0
52,data scientist,Houston,TX,Clearpoint,16125.0,42.0,12.0
54,misc,Houston,TX,Baylor College of Medicine,80500.0,51.0,175.0
58,data analyst,Houston,TX,Oscar Technology,160000.0,,
68,misc,Houston,TX,Rekruiters,250000.0,,
70,data analyst,Houston,TX,Baylor College of Medicine,65000.0,51.0,175.0
76,misc,Houston,TX,Baylor College of Medicine,60998.0,51.0,175.0
80,scientist,Houston,TX,Texas Department of Public Safety,54294.0,44.4,98.0
84,misc,Houston,TX,MD Anderson Cancer Center,83500.0,51.6,251.0
127,data analyst,Houston,TX,Selby Jennings,97500.0,,
131,misc,Houston,TX,Texas A&M University,70000.0,53.4,494.0
136,misc,Houston,TX,Selby Jennings,100000.0,,
36,data analyst,Chatsworth,CA,Phillips Graduate University,55000.0,,
57,senior data scientist,Los Angeles,CA,California State University,102636.0,53.4,448.0
61,scientist,Los Angeles,CA,Hain Solution,12000.0,,
68,data analyst,Los Angeles,CA,Selby Jennings,120000.0,,
77,senior data scientist,Los Angeles,CA,"California State University, Los Angeles",102636.0,53.4,7.0
113,data analyst,Los Angeles,CA,Tessie Cleveland Community Service Corporation,56000.0,,
154,data analyst,Los Angeles,CA,Los Angeles County Department of Human Resources,79758.5,,
164,data other,Los Angeles,CA,Los Angeles County Department of Human Resources,88765.0,,
177,statistician,Los Angeles,CA,Los Angeles County Human Resources,42566.5,,
180,data analyst,Los Angeles,CA,Los Angeles County Department of Human Resources,104708.5,,
182,statistician,Los Angeles,CA,Los Angeles County Department of Human Resources,42566.5,,
186,data analyst,Los Angeles,CA,First 5 LA,68772.0,39.0,6.0
187,scientist,Los Angeles,CA,Compassionate Oncology Medical Group,110000.0,,
254,data other,Santa Monica,CA,Career Movement,185000.0,,
282,scientist,Los Angeles,CA,"Exact Staff, Inc.",90000.0,43.2,89.0
284,misc,Los Angeles,CA,LT,180000.0,43.8,9.0
321,misc,Long Beach,CA,"City of Long Beach, CA",60170.0,54.0,2.0
341,misc,Azusa,CA,The Staffing Solutions Group,26000.0,,
366,misc,Los Angeles,CA,md laboratory,90000.0,,
390,scientist,Los Angeles,CA,Los Angeles County Department of Human Resources,73860.0,,
395,scientist,Los Angeles,CA,CSU Northridge,61250.0,54.0,12.0
413,scientist,Los Angeles,CA,Los Angeles County Department of Human Resources,75864.0,,
425,data analyst,Los Angeles,CA,Los Angeles County Department of Human Resources,56072.0,,
430,data analyst,Los Angeles,CA,Los Angeles County Human Resources,56072.0,,
435,misc,Los Angeles,CA,LT,200000.0,43.8,9.0
441,data other,Los Angeles,CA,Los Angeles Unified School District,94900.0,51.6,649.0
442,scientist,Pasadena,CA,Lighthouse Recruiting,95000.0,,
451,data analyst,Los Angeles,CA,Los Angeles County Human Resources,84495.5,,
454,data analyst,Los Angeles,CA,Los Angeles County Department of Human Resources,84495.5,,
8,misc,Portland,OR,Oregon Health & Science University,83000.0,51.6,111.0
12,data analyst,Portland,OR,Portland State University,60000.0,52.199997,86.0
30,misc,Portland,OR,Cascade Insights,45000.0,,
49,scientist,Portland,OR,State of Oregon,64638.0,51.0,130.0
54,misc,Portland,OR,The Catlin Gabel School,30000.0,,
89,data analyst,Vancouver,WA,Ajilon,30000.0,42.0,2650.0
3,data analyst,Research Triangle Park,NC,Oak Ridge Associated Universities,66740.0,43.2,15.0
